work_id,title,authors,ships,language,words,chapters,collections,comments,kudos,bookmarks,hits,date,url
62233987,I Would Bring You the Stars and the Moon,GutterWitch,Caitlyn/Vi (League of Legends); Caitlyn & Vi (League of Legends),English,94555,11/11,0,3454,39807,6847,1025960,09 Mar 2025,https://archiveofourown.org/works/62233987
59410696,Coming Home (But Not to You),queercatfan,Jayce/Viktor (League of Legends),English,118854,14/14,0,4519,39821,9838,1008749,24 Dec 2024,https://archiveofourown.org/works/59410696
40752774,Hotshot,SarcastCity,Caitlyn/Vi (League of Legends),English,242931,50/50,0,3271,22427,4336,904986,05 Oct 2024,https://archiveofourown.org/works/40752774
38670828,Run at the Cup.,TheHomelyBadger,Caitlyn/Vi (League of Legends); Mel Medarda/Sevika,English,337049,33/33,0,4016,13962,3892,687303,29 Apr 2023,https://archiveofourown.org/works/38670828
35418925,My Boy Savior,Elsanndra,Caitlyn/Vi (League of Legends); Jinx & Vi (League of Legends); Caitlyn & Jinx (League of Legends); Ekko/Jinx (League of Legends),English,393536,49/49,8,3624,16671,2474,631450,23 Sep 2023,https://archiveofourown.org/works/35418925
60133222,Heavy is the Crown,Luna_Monroe,Caitlyn/Vi (League of Legends),English,237753,32/36,0,2911,11074,2865,534813,27 Sep 2025,https://archiveofourown.org/works/60133222
41885505,Second Chance,Nerodith,Jinx & Vi (League of Legends); Jinx & Vander (League of Legends); Jinx (League of Legends) & Silco (Arcane: League of Legends); Jayce & Viktor (League of Legends); Caitlyn/Vi (League of Legends); Ekko/Jinx (League of Legends); Silco (Arcane: League of Legends) & Vander (League of Legends); Caitlyn & Jinx (League of Legends); Jinx (League of Legends) & Mylo (Arcane: League of Legends); Claggor (Arcane: League of Legends) & Jinx (League of Legends); Caitlyn & Jayce (League of Legends); Minor or Background Relationship(s),English,165099,25/?,29,3160,10896,2788,532685,14 Jun 2025,https://archiveofourown.org/works/41885505
39945543,Cerulean eyes for the damaged soul,loveshazel,Caitlyn/Vi (League of Legends),English,203183,32/32,2,2149,12449,3007,495355,26 Nov 2022,https://archiveofourown.org/works/39945543
38426080,Rumours (Terrible and True),SunsetSharkbite,Caitlyn/Vi (League of Legends),English,116750,21/21,0,2135,16208,3224,442045,05 Sep 2022,https://archiveofourown.org/works/38426080
36528271,The Threads Of Fate Tangle And Twist,Misthios,Caitlyn/Vi (League of Legends),English,100310,16/16,0,2127,14398,4222,403284,07 Dec 2024,https://archiveofourown.org/works/36528271
60839533,Love was the Law,ruinthatboy,Jayce/Viktor (League of Legends),English,6957,2/2,0,2163,39900,7408,401720,09 Mar 2025,https://archiveofourown.org/works/60839533
61938229,Cup Rune Over,surveycorpsjean,Jayce/Viktor (League of Legends),English,52379,8/8,8,3578,24311,6311,396491,18 Feb 2025,https://archiveofourown.org/works/61938229
61254193,the line is covered in jellyfish,staroverlord,Jayce/Viktor (League of Legends),English,129797,10/12,0,3582,10975,3722,382584,05 Oct 2025,https://archiveofourown.org/works/61254193
36793138,Teenage Sumprat,SunsetSharkbite,Caitlyn/Vi (League of Legends),English,109413,28/28,0,3109,13773,2971,376869,08 Apr 2022,https://archiveofourown.org/works/36793138
61052365,We Moved Into a Real House (a Wild Field Behind it),smokesatellite,Ekko/Jinx (League of Legends); Caitlyn/Vi (League of Legends); Jinx & Vi (League of Legends); Isha (Arcane: League of Legends) & Jinx (League of Legends); Ekko (League of Legends) & Isha (Arcane: League of Legends) & Jinx (League of Legends),English,140479,11/14,0,1506,9172,1764,344826,11 Apr 2025,https://archiveofourown.org/works/61052365
38563722,What Happened Here?,Apollos_Slytherin_Daughter,Caitlyn/Vi (League of Legends); Caitlyn & Vi (League of Legends); Jayce & Viktor (League of Legends); Jayce (League of Legends)/Mel Medarda; Jayce (League of Legends) & Mel Medarda; Claggor (Arcane) & Jinx (League of Legends) & Mylo (Arcane) & Vander & Vi (League of Legends); Claggor (Arcane) & Ekko & Jinx (League of Legends) & Mylo (Arcane) & Vi (League of Legends); Benzo (Arcane: League of Legends) & Vander (League of Legends); Benzo (Arcane: League of Legends) & Ekko (League of Legends),English,121289,56/?,2,1357,5111,1024,344331,24 Aug 2024,https://archiveofourown.org/works/38563722
36474277,The Scientist's Daughter,onegraycat,Jinx & Viktor (League of Legends); Jayce/Viktor; Caitlyn/Vi (League of Legends) (background),English,149148,20/20,1,1358,8248,2035,326179,08 Oct 2022,https://archiveofourown.org/works/36474277
61005346,A New Knife,surveycorpsjean,Jayce/Viktor (League of Legends),English,19758,1/1,12,1576,27966,8930,307982,01 Dec 2024,https://archiveofourown.org/works/61005346
61495543,Partners in Crime,ruinthatboy,Jayce/Viktor (League of Legends),English,68369,4/4,1,1753,14294,3217,285555,12 Jul 2025,https://archiveofourown.org/works/61495543
35255137,Fathers and Daughters,Blue_Daddys_Girl,Jinx & Vi (League of Legends); Jinx (League of Legends) & Silco (Arcane: League of Legends); Silco (League of Legends) & Vi (League of Legends); Vi & Sevika (League of Legends); Jinx & Vi & Silco; Marcus & Silco (Arcane: League of Legends); Jinx (League of Legends) & Sevika (Arcane: League of Legends); Singed & Vi; Marcus & Vi; Ekko (League of Legends) & Scar (Arcane: League of Legends); Jinx & Viktor (League of Legends); Ekko & Jinx (League of Legends) & Original Character(s); Caitlyn (League of Legends) & Tobias Kiramman; Caitlyn (League of Legends) & Silco (Arcane: League of Legends); Renata Glasc & Silco (Arcane: League of Legends); Heimerdinger & Viktor (League of Legends),English,107030,42/42,4,3605,7681,1822,283422,05 Sep 2024,https://archiveofourown.org/works/35255137
