work_id,title,authors,ships,language,words,chapters,collections,comments,kudos,bookmarks,hits,date,url
66381682,two worlds apart,,Rumi/Jinu,English,1489,1/1,1,5,246,27,2542,10 Jun 2025,https://archiveofourown.org/works/66381682
66383446,"""COUCH""",Kxari,Rumi & Zoey & Mira (Kpop Demon Hunters); Rumi&Zoey; Rumi & Mira; Zoey & Mira; Mira & Rumi & Zoey; Mira &Rumi & Zoey (Kpop Demon Hunters); Mira & Rumi & Zoey (K-Pop Demon Hunters),English,1513,1/1,0,17,350,49,3092,10 Jun 2025,https://archiveofourown.org/works/66383446
66527821,Little Bug,PatiSilence,Jinu/Rumi (KPop Demon Hunters); Abby/Zoey (KPop Demon Hunters),English,423,1/1,0,11,364,36,5285,13 Jun 2025,https://archiveofourown.org/works/66527821
66522892,"we are the same, you and I",Kairas,Rumi/Jinu,English,868,1/1,0,13,467,60,4678,14 Jun 2025,https://archiveofourown.org/works/66522892
66703174,golden,riverv,Rumi/Jinu,English,11070,1/1,0,324,12782,2132,105780,19 Jun 2025,https://archiveofourown.org/works/66703174
66714244,Ramen - the best medicine,Kxari,Rumi & Zoey & Mira (Kpop Demon Hunters); Rumi&Zoey; Rumi&Mira; Mira&Zoey; Mira & Rumi & Zoey (K-Pop Demon Hunters); Mira & Rumi & Zoey; Mira & Rumi & Zoey & Bobbie (K-Pop Demon Hunters),English,3791,1/1,0,6,297,34,3438,19 Jun 2025,https://archiveofourown.org/works/66714244
66740095,chaser,Bees (wh1t3_r0s3),Jinu/Rumi (KPop Demon Hunters),English,1883,1/1,0,17,577,86,3839,20 Jun 2025,https://archiveofourown.org/works/66740095
66742762,Teddy bears and choo-choo trains,Ciupciaka,Jinu/Rumi (KPop Demon Hunters),English,1583,1/1,0,38,2316,283,16545,20 Jun 2025,https://archiveofourown.org/works/66742762
66741961,History repeats itself,,Bobby & Mira & Rumi & Zoey (KPop Demon Hunters); Jinu/Rumi (KPop Demon Hunters); Rumi & Celine (KPop Demon Hunters),English,745,1/1,1,5,368,48,4395,20 Jun 2025,https://archiveofourown.org/works/66741961
66737335,What's left of him,,Jinu/Rumi (KPop Demon Hunters); Bobby & Mira & Rumi & Zoey (KPop Demon Hunters),English,612,1/1,1,6,320,35,3235,20 Jun 2025,https://archiveofourown.org/works/66737335
66737317,Back together,blooomrse,Jinu/Rumi (KPop Demon Hunters),English,861,1/1,0,26,1058,112,8246,20 Jun 2025,https://archiveofourown.org/works/66737317
66735505,The Ghost of Him,ryuurel,Jinu/Rumi (KPop Demon Hunters),English,554,1/1,0,7,354,42,3168,20 Jun 2025,https://archiveofourown.org/works/66735505
66735076,One More Chance,Mouchiiwrites,Jinu/Rumi (KPop Demon Hunters); Rumi & Zoey (KPop Demon Hunters); Mira & Rumi (KPop Demon Hunters); Bobby & Mira & Rumi & Zoey (KPop Demon Hunters),English,1043,1/?,0,1,55,8,930,20 Jun 2025,https://archiveofourown.org/works/66735076
66743956,vortex,Enma_Eden,"Kenji ""Ken"" Sato/Jinu (KPop Demon Hunters)",English,2063,1/1,0,20,280,22,2251,20 Jun 2025,https://archiveofourown.org/works/66743956
66734542,To Love a Demon,Sovereighnn,,English,980,1/1,0,29,968,127,7790,20 Jun 2025,https://archiveofourown.org/works/66734542
66732148,you- you're alive,Iamachilde13,Jinu/Rumi (KPop Demon Hunters); Bobby & Mira & Rumi & Zoey (KPop Demon Hunters),English,611,1/1,0,14,481,38,7159,20 Jun 2025,https://archiveofourown.org/works/66732148
66728794,"no, one mourns the wicked",Kairas,Rumi/Jinu,English,545,1/1,0,10,378,34,2707,20 Jun 2025,https://archiveofourown.org/works/66728794
66726343,What If We Heal What's Broken?,quokka_hwang,Rumi/Jinu,English,977,1/1,0,36,571,79,4782,20 Jun 2025,https://archiveofourown.org/works/66726343
66743704,doubt,Bees (wh1t3_r0s3),Jinu/Rumi (KPop Demon Hunters),English,1765,1/1,0,13,477,90,3723,20 Jun 2025,https://archiveofourown.org/works/66743704
66772933,"I Give My Soul to You, Rumi...",sarawranne,Jinu/Rumi (KPop Demon Hunters),English,2365,1/1,0,50,292,47,3107,21 Jun 2025,https://archiveofourown.org/works/66772933
66757912,Our Happy Ending,Moririri_17,Jinu/Rumi (KPop Demon Hunters); Jinu & Rumi (KPop Demon Hunters); Mira & Rumi & Zoey (KPop Demon Hunters); Abby/Mira/Romance (KPop Demon Hunters); Mystery/Zoey (KPop Demon Hunters),English,817,1/1,0,92,376,37,7501,21 Jun 2025,https://archiveofourown.org/works/66757912
66755707,patterns,Kairas,Jinu/Rumi (KPop Demon Hunters),English,290,1/1,0,8,363,49,4549,21 Jun 2025,https://archiveofourown.org/works/66755707
66758086,The Saja Boys' backstories that the movie didn't give,AWildAntisexual,,English,1812,4/4,0,58,366,32,5069,21 Jun 2025,https://archiveofourown.org/works/66758086
66758512,A Dumb Letter To Your Biggest Fan,Anonymous_2130,Jinu/Rumi (KPop Demon Hunters),English,553,1/1,0,3,281,29,2488,21 Jun 2025,https://archiveofourown.org/works/66758512
66758791,"we are hunters, voices strong",dirtyroach_69,Celine & Rumi (KPop Demon Hunters),English,1214,1/1,0,20,242,32,2173,21 Jun 2025,https://archiveofourown.org/works/66758791
66759286,Kpop Demon Hunters: World Tour,BucketOfSass,Jinu/Rumi (KPop Demon Hunters),English,815,1/?,0,4,85,21,1561,21 Jun 2025,https://archiveofourown.org/works/66759286
66755467,Free For Now,Somniawrites,,English,841,1/?,0,2,84,9,717,21 Jun 2025,https://archiveofourown.org/works/66755467
66760678,Free,t4t_poolverine,Jinu/Rumi (KPop Demon Hunters),English,3947,1/1,0,27,620,91,14416,21 Jun 2025,https://archiveofourown.org/works/66760678
66754984,"New Beats, New Marks",novacreati,Mira/Rumi/Zoey (KPop Demon Hunters),English,897,1/1,0,12,1033,94,7125,21 Jun 2025,https://archiveofourown.org/works/66754984
66756115,rumi x jinu (Jinumi),tinatina_story_toh,Jinu/Rumi (KPop Demon Hunters); Bobby & Mira & Rumi & Zoey (KPop Demon Hunters); Mira & Rumi & Zoey (KPop Demon Hunters),English,1173,2/2,0,0,28,4,2453,21 Jun 2025,https://archiveofourown.org/works/66756115
66774370,Save The Date,lividlyalive,Jinu/Rumi (KPop Demon Hunters),English,1893,1/1,0,7,367,60,3318,21 Jun 2025,https://archiveofourown.org/works/66774370
66762991,All of me,frieswithicecream,Mira & Rumi & Zoey (KPop Demon Hunters); Celine & Rumi (KPop Demon Hunters),English,1751,1/1,0,23,654,119,4724,21 Jun 2025,https://archiveofourown.org/works/66762991
66763399,Im alive,Iamachilde13,Jinu/Rumi (KPop Demon Hunters); Mira & Rumi & Zoey (KPop Demon Hunters); jinu & Abby & Romance & Mystery & Baby,English,1178,1/1,0,1,173,7,2970,21 Jun 2025,https://archiveofourown.org/works/66763399
66770143,Picking Up the Pieces : Polytrix,Lost_Fawn,Mira/Rumi/Zoey (KPop Demon Hunters); Mira & Rumi & Zoey (KPop Demon Hunters),English,3395,1/1,0,35,1614,139,16830,21 Jun 2025,https://archiveofourown.org/works/66770143
66769972,the warmth behind your cold,yeonshinyuno (nunanneomuyeppeo),Jinu/Rumi (KPop Demon Hunters),English,3000,1/1,0,16,430,70,3279,21 Jun 2025,https://archiveofourown.org/works/66769972
66753433,blind,Bees (wh1t3_r0s3),Jinu/Rumi (KPop Demon Hunters),English,1030,1/1,0,7,252,36,2038,21 Jun 2025,https://archiveofourown.org/works/66753433
66769720,Of Samurai and Hunters,The Silly Scribe (SentinelOfStories),Rumi/Lauren Shiba,English,1171,1/1,0,8,27,7,357,21 Jun 2025,https://archiveofourown.org/works/66769720
66764317,Cover Them Up,MagusThree,,English,7924,2/2,0,19,334,73,2737,21 Jun 2025,https://archiveofourown.org/works/66764317
66764425,If You Had Stayed,JojiJofi18,Jinu/Rumi (KPop Demon Hunters); Mira & Rumi & Zoey (KPop Demon Hunters); Jinu & Rumi (KPop Demon Hunters),English,3405,1/1,0,10,186,37,1807,21 Jun 2025,https://archiveofourown.org/works/66764425
66768439,In Which When Vi Got Catapulted Into a Parallel Universe That Just So Happened To Be K-Pop Themed,XxthatonegeekxX,Caitlyn/Vi (League of Legends),English,1308,1/1,1,6,26,2,546,21 Jun 2025,https://archiveofourown.org/works/66768439
66766291,Hear your voice,Cat_kitten_kitty,Jinu/Rumi (KPop Demon Hunters),English,1979,1/1,0,9,116,23,1256,21 Jun 2025,https://archiveofourown.org/works/66766291
66766576,Bathhouse,Purpledragon6,Jinu/Rumi (KPop Demon Hunters),English,1345,1/1,0,10,912,115,7166,21 Jun 2025,https://archiveofourown.org/works/66766576
66767194,the bearing weight of freedom,mostlyjoon,Jinu/Rumi (KPop Demon Hunters); Jinu & Rumi (KPop Demon Hunters),English,5323,1/1,0,73,2327,327,41208,21 Jun 2025,https://archiveofourown.org/works/66767194
66761608,Kpop Demon Hunters 2:Rise of The Queen,Lara635Kookie,Jinu/Rumi (KPop Demon Hunters); Mira & Rumi & Zoey (KPop Demon Hunters),English,6330,3/?,0,23,148,34,2561,21 Jun 2025,https://archiveofourown.org/works/66761608
66753088,Shards of Broken Glass,MagusThree,Mira/Rumi/Zoey (KPop Demon Hunters),English,3248,1/1,0,39,1348,191,7840,21 Jun 2025,https://archiveofourown.org/works/66753088
66747880,Bad Saja Boy!,Kairas,Zoey/Mystery,English,1113,1/1,0,69,5283,538,38041,21 Jun 2025,https://archiveofourown.org/works/66747880
66752020,chime,thegoldenappleofdiscord,Jinu/Rumi (KPop Demon Hunters); Jinu & Rumi (KPop Demon Hunters),English,1653,1/1,0,65,4821,631,36759,21 Jun 2025,https://archiveofourown.org/works/66752020
