relationship,kudos,works,words,chapters,collections,comments,bookmarks,hits,unique_authors
Jayce/Viktor (League of Legends),1731252,500,27181202,5633,143,201118,316836,27011644,340
"Evan ""Buck"" Buckley/Eddie Diaz (9-1-1 TV)",2384525,500,26532626,5989,752,195932,510444,41463223,288
Caitlyn/Vi (League of Legends),1430614,500,49506138,9549,137,288709,277899,41690074,350
Bakugou Katsuki/Midoriya Izuku,3926264,500,49521833,11606,8405,516361,796621,91417284,350
Sirius Black/Remus Lupin,3768047,500,88801690,18282,3801,666807,941914,139062260,402
James Potter/Lily Evans Potter,2477734,500,84596773,18980,2353,540814,628096,98019853,409
Regulus Black/James Potter,1717549,500,63382176,12226,1222,278920,436689,53884859,324
Hermione Granger/Draco Malfoy,2853821,500,81474705,16645,5651,716692,1064206,156850887,355
Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs),1769975,500,34704728,7231,895,210600,265403,38380902,258
Draco Malfoy/Harry Potter,5986028,500,58695507,11993,3222,583573,1376226,155598929,297
Agatha Harkness/Rio Vidal,542549,500,28513758,6217,20,149196,83933,12533853,302
Getou Suguru/Gojo Satoru,1485678,500,34797383,5913,508,202732,286768,31345977,304
Shadow the Hedgehog/Sonic the Hedgehog,680865,500,25251103,6216,51,118413,90756,12656077,295
"Evan ""Buck"" Buckley/Tommy Kinard",575700,500,14424579,4191,107,95920,104055,9994591,278
Han Jisung | Han/Lee Minho | Lee Know,1342346,500,50861364,9560,213,244327,270330,31328516,301
Mydei/Phainon (Honkai: Star Rail),544218,500,13991370,2892,50,70965,92727,9985679,256
Ivan/Till (Alien Stage),664237,500,9422060,2570,73,53213,88256,9038231,268
Ekko/Jinx (League of Legends),556927,500,37480330,8128,213,135594,109610,15877820,398
Colin Bridgerton/Penelope Featherington,1088001,500,40028486,9715,142,343598,232023,35825879,295
Xia Yizhou | Caleb/You,409754,500,19134868,5203,21,82877,54450,12386879,353
Qin Che | Sylus/You,376522,500,20042603,4573,24,62890,51897,12654505,320
Hwang Inho | Front Man/Seong Gihun,533166,500,22418262,6028,32,110898,65176,9736316,324
Jayce & Viktor (League of Legends),533279,500,18987786,3927,83,77603,93001,9195583,351
Logan | Worst Wolverine (Deadpool Movies)/Wade Wilson,575570,500,7730375,2066,46,55115,76968,6156142,280
Tim Bradford/Lucy Chen,563202,500,25287706,8581,88,121296,72796,16333549,175
Ao Bing | East Sea Third Prince/Nezha | Third Lotus Prince,280934,500,18070834,4354,20,79274,34352,15492027,293
Lucanis Dellamorte/Rook,141000,500,18336405,5451,30,46870,23452,2537988,358
Alastor/Lucifer Magne | Morningstar,833274,500,36197754,9206,67,218594,125483,17047302,333
Alhaitham/Kaveh (Genshin Impact),1212724,500,16244224,4815,229,113983,182016,22245890,294
Neuvillette/Wriothesley (Genshin Impact),689254,500,16768408,3992,98,88990,85760,14256644,254
Blitzo/Stolas Goetia,457689,500,40490482,10230,77,147252,76088,13327927,323
