relationship,kudos,works,words,chapters,collections,comments,bookmarks,hits,unique_authors
Jayce/Viktor (League of Legends),739993,100,8438895,1544,72,87187,146019,12647786,89
"Evan ""Buck"" Buckley/Eddie Diaz (9-1-1 TV)",750661,100,9837847,1962,270,82471,176653,15342524,77
Caitlyn/Vi (League of Legends),650944,100,14925636,2656,73,127251,130545,20537481,83
Bakugou Katsuki/Midoriya Izuku,1458696,100,17499146,3645,3392,244437,319891,41874442,87
Sirius Black/Remus Lupin,1735359,100,25812522,4689,1588,311297,435504,79538907,87
James Potter/Lily Evans Potter,1284112,100,27025101,5625,1164,280527,317807,62543410,89
Regulus Black/James Potter,807060,100,20819235,3886,721,145410,231806,31418342,81
Hermione Granger/Draco Malfoy,1237375,100,24138570,4211,2689,290072,481722,80979910,79
Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs),656362,100,14672520,2519,356,109504,110161,17872394,74
Draco Malfoy/Harry Potter,2600529,100,16932036,2798,1771,236318,635424,74809021,73
Agatha Harkness/Rio Vidal,237854,100,11357738,2190,1,85418,38980,6752122,81
Getou Suguru/Gojo Satoru,635775,100,12240459,1947,288,96361,128914,14797033,78
Shadow the Hedgehog/Sonic the Hedgehog,267632,100,9616702,2243,13,62680,39374,5856690,79
"Evan ""Buck"" Buckley/Tommy Kinard",177176,100,7379039,1864,61,51595,38851,4554462,78
Han Jisung | Han/Lee Minho | Lee Know,489913,100,15887656,2477,58,101010,105491,12996335,79
Mydei/Phainon (Honkai: Star Rail),201823,100,5268794,1028,11,35401,35150,4262731,83
Ivan/Till (Alien Stage),287447,100,3007574,712,18,23633,41599,3927855,79
Ekko/Jinx (League of Legends),269046,100,13620823,2625,90,71783,55284,8768536,92
Colin Bridgerton/Penelope Featherington,371307,100,11869095,2773,42,127437,77279,13627758,74
Xia Yizhou | Caleb/You,208649,100,7624231,2215,7,53017,25639,6968194,85
Qin Che | Sylus/You,175661,100,9302400,1666,7,37850,22927,6822394,71
Hwang Inho | Front Man/Seong Gihun,223274,100,8536710,1916,13,60299,27567,4545746,80
Jayce & Viktor (League of Legends),278088,100,6622054,1285,50,45087,52810,5387985,81
Logan | Worst Wolverine (Deadpool Movies)/Wade Wilson,240711,100,2625202,698,20,23509,33984,2653294,74
Tim Bradford/Lucy Chen,197340,100,9947579,2934,18,57643,25800,7110025,48
Ao Bing | East Sea Third Prince/Nezha | Third Lotus Prince,117621,100,4214996,971,3,24866,11627,7927962,74
Lucanis Dellamorte/Rook,58488,100,9091430,2495,11,28005,11087,1302995,91
Alastor/Lucifer Magne | Morningstar,349404,100,12934622,3377,31,121128,53679,8127449,88
Alhaitham/Kaveh (Genshin Impact),501822,100,6313054,1710,107,65415,82036,9803705,79
Neuvillette/Wriothesley (Genshin Impact),298185,100,7404878,1782,34,59620,39298,7482927,65
Blitzo/Stolas Goetia,184087,100,16857543,3776,35,82277,31447,7241762,74
Barty Crouch Jr./Evan Rosier,309190,100,18961081,3163,160,84894,94986,13397510,90
Aventurine/Dr. Ratio (Honkai: Star Rail),216600,100,5032220,1164,15,30365,32413,4514389,84
Charles Leclerc/Max Verstappen,283566,100,10832294,3304,16,63638,48199,10005117,69
"John ""Soap"" MacTavish/Simon ""Ghost"" Riley",496635,100,7313176,2357,109,73461,87939,9351413,78
